Designator,Mid X,Mid Y,Layer,Rotation,Ref-X(mm),Ref-Y(mm)
Q46,5.280000mm,34.100000mm,Top,270.0,5.280000mm,34.100000mm
Q47,26.680000mm,82.600000mm,Top,270.0,26.680000mm,82.600000mm
Q48,57.800000mm,82.800000mm,Top,270.0,57.800000mm,82.800000mm
Q49,43.700000mm,73.900000mm,Top,0.0,43.700000mm,73.900000mm
Q50,39.700000mm,73.900000mm,Top,0.0,39.700000mm,73.900000mm
Q52,23.700000mm,73.637500mm,Top,90.0,23.700000mm,73.637500mm
Q53,23.700000mm,69.637500mm,Top,90.0,23.700000mm,69.637500mm
R1,80.200000mm,46.200000mm,Top,0.0,80.200000mm,46.200000mm
R2,87.749998mm,46.200001mm,Top,0.0,87.749998mm,46.200001mm
R4,85.800000mm,96.162500mm,Top,90.0,85.800000mm,96.162500mm
R5,55.500000mm,46.200000mm,Top,0.0,55.500000mm,46.200000mm
R7,27.800000mm,39.257581mm,Top,180.0,27.800000mm,39.257581mm
R13,9.000000mm,51.500000mm,Top,0.0,9.000000mm,51.500000mm
R18,73.400000mm,96.200000mm,Top,90.0,73.400000mm,96.200000mm
R20,24.300000mm,39.257581mm,Top,180.0,24.300000mm,39.257581mm
R22,37.900000mm,69.500000mm,Top,-90.0,37.900000mm,69.500000mm
R26,76.300000mm,46.200000mm,Top,0.0,76.300000mm,46.200000mm
R30,81.300000mm,66.700000mm,Top,0.0,81.300000mm,66.700000mm
R35,41.100000mm,69.500000mm,Top,-90.0,41.100000mm,69.500000mm
R36,77.450000mm,50.000000mm,Top,90.0,77.450000mm,50.000000mm
R40,51.700000mm,77.100000mm,Top,180.0,51.700000mm,77.100000mm
R45,68.550000mm,83.237500mm,Top,-90.0,68.550000mm,83.237500mm
R46,5.500000mm,51.500000mm,Top,0.0,5.500000mm,51.500000mm
R48,9.000000mm,48.500000mm,Top,0.0,9.000000mm,48.500000mm
R49,49.200000mm,46.200000mm,Top,0.0,49.200000mm,46.200000mm
R50,62.100000mm,46.200000mm,Top,0.0,62.100000mm,46.200000mm
R51,68.800000mm,46.200000mm,Top,0.0,68.800000mm,46.200000mm
R56,14.000000mm,95.550000mm,Top,90.0,14.000000mm,95.550000mm
R72,30.200000mm,69.500000mm,Top,-90.0,30.200000mm,69.500000mm
R74,5.500000mm,48.500000mm,Top,0.0,5.500000mm,48.500000mm
R75,9.000000mm,45.500000mm,Top,0.0,9.000000mm,45.500000mm
R76,5.500000mm,45.500000mm,Top,0.0,5.500000mm,45.500000mm
R85,41.500000mm,94.500000mm,Top,90.0,41.500000mm,94.500000mm
R89,9.000000mm,42.500000mm,Top,0.0,9.000000mm,42.500000mm
R91,94.400000mm,74.700000mm,Top,90.0,94.400000mm,74.700000mm
R93,5.500000mm,42.500000mm,Top,0.0,5.500000mm,42.500000mm
R98,76.200000mm,76.700000mm,Top,0.0,76.200000mm,76.700000mm
R99,83.700000mm,76.700000mm,Top,0.0,83.700000mm,76.700000mm
R1100,17.700000mm,76.500000mm,Top,0.0,17.700000mm,76.500000mm
R1101,10.200000mm,76.500000mm,Top,0.0,10.200000mm,76.500000mm
R1102,91.200000mm,76.700000mm,Top,0.0,91.200000mm,76.700000mm
R1103,86.200000mm,62.200000mm,Top,0.0,86.200000mm,62.200000mm
R1104,2.700000mm,76.500000mm,Top,0.0,2.700000mm,76.500000mm
R1105,32.700000mm,76.500000mm,Top,0.0,32.700000mm,76.500000mm
R1106,3.020000mm,14.200000mm,Top,0.0,3.020000mm,14.200000mm
R1107,3.800000mm,28.000000mm,Top,0.0,3.800000mm,28.000000mm
R1108,25.200000mm,76.500000mm,Top,0.0,25.200000mm,76.500000mm
R1109,56.320000mm,76.700000mm,Top,0.0,56.320000mm,76.700000mm
R1113,39.900000mm,76.737500mm,Top,0.0,39.900000mm,76.737500mm
R1131,34.700000mm,69.500000mm,Top,-90.0,34.700000mm,69.500000mm
R1136,44.300000mm,69.500000mm,Top,-90.0,44.300000mm,69.500000mm
R1141,27.000000mm,69.500000mm,Top,-90.0,27.000000mm,69.500000mm
U3,34.000000mm,51.100000mm,Top,180.0,34.000000mm,51.100000mm
U4,16.350000mm,14.100000mm,Top,180.0,16.350000mm,14.100000mm
